"","lhs","op","rhs","est","start","se"
"1","ind60","=~","x1",1,1,0
"2","ind60","=~","x2",2.18116179952003,2.19339071974215,0.140063360131525
"3","ind60","=~","x3",1.81864898144411,1.82366879286193,0.153296626094934
"4","dem60","=~","y1",1,1,0
"5","dem60","=~","y2",1.25630303634356,1.29603565308136,0.193861999899564
"6","dem60","=~","y3",1.06124522308252,1.05536064389116,0.147014297460391
"7","dem60","=~","y4",1.24955292317123,1.2937499562716,0.151039185085504
"8","dem65","=~","y5",1,1,0
"9","dem65","=~","y6",1.17743438372192,1.30282032511249,0.174938510969629
"10","dem65","=~","y7",1.28201790324333,1.4031904297342,0.161524756726423
"11","dem65","=~","y8",1.25899838821994,1.40117898631236,0.164319141698977
"12","dem60","~","ind60",1.45548715663345,0,0.409666481037724
"13","dem65","~","ind60",0.643937607857147,0,0.251766860509969
"14","dem65","~","dem60",0.805643459792826,0,0.098974896467345
"15","y1","~~","y5",0.625486903608201,0,0.372790250181617
"16","y2","~~","y4",1.54253979682344,0,0.804910681557683
"17","y2","~~","y6",1.92474657312217,0,0.766179499909124
"18","y3","~~","y7",0.821672197998501,0,0.6276272206304
"19","y4","~~","y8",0.418403227329673,0,0.464647974432289
"20","y6","~~","y8",1.46684868061512,0,0.630557237385928
"21","y1","~1","",5.2347284932475,5.46466666666667,0.310069415918671
"22","y2","~1","",3.33127665540407,4.25644288,0.414587404401426
"23","y3","~1","",6.25934414395185,6.56311025333333,0.376036202919694
"24","y4","~1","",4.13797080478375,4.45253304,0.382232216123999
"25","y5","~1","",5.2347284932475,5.13625192,0.310069415918671
"26","y6","~1","",3.33127665540407,2.97807408,0.414587404401426
"27","y7","~1","",6.25934414395186,6.19626389333333,0.376036202919694
"28","y8","~1","",4.13797080478375,4.04338968,0.382232216123999
"29","x1","~~","x1",0.0828132562875321,0.268574364644271,0.0201449114174209
"30","x2","~~","x2",0.120621200992556,1.14105349351746,0.0714619840672019
"31","x3","~~","x3",0.473316785734997,0.988012048469139,0.0910662925735037
"32","y1","~~","y1",1.84185638989015,3.43928288288288,0.484925093848608
"33","y2","~~","y2",8.15569968960132,7.78990811088416,1.5636817550549
"34","y3","~~","y3",5.05089004528486,5.38212363870104,0.982359473972385
"35","y4","~~","y4",3.27744006128922,5.60946588835352,0.802105036313854
"36","y5","~~","y5",2.36458366894876,3.41284504111982,0.504512696582698
"37","y6","~~","y6",5.2216312801208,5.68766254559105,0.989772534215573
"38","y7","~~","y7",3.41550069227975,5.39968595934149,0.745422814864541
"39","y8","~~","y8",3.31422451355098,5.26693584131811,0.729400254136135
"40","ind60","~~","ind60",0.455720624349666,0.05,0.0889744678079553
"41","dem60","~~","dem60",4.17034016556043,0.05,1.00499203405081
"42","dem65","~~","dem65",0.302126082788787,0.05,0.241113085160536
"43","x1","~1","",5.09160032713329,5.05438384,0.0881098879533006
"44","x2","~1","",4.87336985434787,4.79219462666667,0.182300976818206
"45","x3","~1","",3.62537353592241,3.55768978666667,0.168473509395324
"46","ind60","~1","",0,0,0
"47","dem60","~1","",0,0,0
"48","dem65","~1","",0,0,0
"49",".p21.","==",".p25.",-8.88178419700125e-16,0,0
"50",".p22.","==",".p26.",-8.88178419700125e-16,0,0
"51",".p23.","==",".p27.",-1.77635683940025e-15,0,0
"52",".p24.","==",".p28.",0,0,0
